Country	Population	Total Cases	Total Deaths	Total Tests	Vaccinations Per Date	Percent Infected	Percent Vaccinated	Percentage Tested	Death Rate	 Infected Testing Rate	Vaccination Rate
Afghanistan	38928341	151770	7000	0	219159	0.0038	0.0056	0.0000	0.0461	0.0000	1.4440
Albania	2877800	135550	2463	737014	560007	0.0471	0.1945	0.2561	0.0181	5.4372	4.1313
Algeria	43851043	186655	4766	0	724812	0.0042	0.0165	0.0000	0.0255	0.0000	3.8831
Angola	32866268	44534	1086	0	722610	0.0013	0.0219	0.0000	0.0243	0.0000	16.226
Antigua and Barbuda	97928	1378	43	16700	31414	0.0140	0.3207	0.1705	0.0312	12.119	22.796
Argentina	45195777	5080908	108936	12519696	9821987	0.1124	0.2173	0.2770	0.0214	2.4640	1.9331
Armenia	2963234	234227	4685	1415538	62373	0.0790	0.0210	0.4777	0.0200	6.0434	0.2662
Australia	25499881	39097	958	27361145	5253934	0.0015	0.2060	1.0729	0.0245	699.82	134.38
Austria	9006400	667841	10754	70108599	4987968	0.0741	0.5538	7.7843	0.0161	104.97	7.4687
Azerbaijan	10139175	365009	5138	4164163	2358955	0.0359	0.2326	0.4107	0.0140	11.408	6.4627
Bahamas	393248	16141	311	0	47580	0.0410	0.1209	0.0000	0.0192	0.0000	2.9477
Bahrain	1701583	270816	1384	5631541	1069945	0.1591	0.6287	3.3095	0.0051	20.794	3.9508
Bangladesh	164689383	1412218	23988	8248141	5224248	0.0085	0.0317	0.0500	0.0169	5.8405	3.6993
Barbados	287371	4525	48	0	82733	0.0157	0.2878	0.0000	0.0106	0.0000	18.283
Belarus	9449321	459998	3593	7463902	1095778	0.0486	0.1159	0.7898	0.0078	16.225	2.3821
Belgium	11589616	1149869	25287	17847770	7569904	0.0992	0.6531	1.5399	0.0219	15.521	6.5832
Belize	397621	14847	344	194029	58476	0.0373	0.1470	0.4879	0.0231	13.068	3.9385
Benin	12123198	9065	113	640586	21405	0.0007	0.0017	0.0528	0.0124	70.665	2.3612
Bhutan	771612	2570	3	798573	475661	0.0033	0.6164	1.0349	0.0011	310.72	185.08
Bolivia	11673029	481631	18152	2160529	2027136	0.0412	0.1736	0.1850	0.0376	4.4858	4.2088
Bosnia and Herzegovina	3280815	207076	9701	1092969	327698	0.0631	0.0998	0.3331	0.0468	5.2781	1.5825
Botswana	2351625	136758	1973	0	146299	0.0581	0.0622	0.0000	0.0144	0.0000	1.0697
Brazil	212559409	20350142	568788	31716527	49297923	0.0957	0.2319	0.1492	0.0279	1.5585	2.4224
Brunei	437483	640	3	0	46440	0.0014	0.1061	0.0000	0.0046	0.0000	72.562
Bulgaria	6948445	432962	18339	3830741	1071839	0.0623	0.1542	0.5513	0.0423	8.8477	2.4755
Burkina Faso	20903278	13671	170	0	0	0.0006	0.0000	0.0000	0.0124	0.0000	0.0000
Burundi	11890781	9620	38	0	0	0.0008	0.0000	0.0000	0.0039	0.0000	0.0000
Cambodia	16718971	84860	1666	1579750	6967688	0.0050	0.4167	0.0944	0.0196	18.615	82.108
Cameroon	26545864	82454	1338	0	61818	0.0031	0.0023	0.0000	0.0162	0.0000	0.7497
Canada	37742157	1458326	26658	39199157	24025326	0.0386	0.6365	1.0386	0.0182	26.879	16.474
Cape Verde	555988	34344	299	0	25824	0.0617	0.0464	0.0000	0.0087	0.0000	0.7519
Central African Republic	4829764	11251	99	0	9901	0.0023	0.0020	0.0000	0.0087	0.0000	0.8800
Chad	16425859	4982	174	0	10863	0.0003	0.0006	0.0000	0.0349	0.0000	2.1804
Chile	19116209	1628293	36331	19048353	12974102	0.0851	0.6786	0.9964	0.0223	11.698	7.9679
China	1439323774	94442	4639	160000000	777046000	0.0000	0.5398	0.1111	0.0491	1694.1	8227.7
Colombia	50882884	4864629	123356	23179061	13590141	0.0956	0.2670	0.4555	0.0253	4.7648	2.7936
Comoros	869595	4038	147	0	67783	0.0046	0.0779	0.0000	0.0364	0.0000	16.786
Congo	5518092	13356	179	0	95043	0.0024	0.0172	0.0000	0.0134	0.0000	7.1161
Costa Rica	5094114	428295	5211	1521711	862851	0.0840	0.1693	0.2987	0.0121	3.5529	2.0146
Cote d'Ivoire	26378275	52202	359	826678	0	0.0019	0.0000	0.0313	0.0068	15.836	0.0000
Croatia	4105268	366724	8282	2380422	1546645	0.0893	0.3767	0.5798	0.0225	6.4910	4.2174
Cyprus	888005	108707	456	10792386	486972	0.1224	0.5483	12.153	0.0041	99.279	4.4796
Czechia	10708982	1676080	30378	0	5308063	0.1565	0.4956	0.0000	0.0181	0.0000	3.1669
Democratic Republic of Congo	89561404	53136	1050	0	4260	0.0005	0.0000	0.0000	0.0197	0.0000	0.0801
Denmark	5792203	331163	2561	38526500	3749106	0.0571	0.6472	6.6514	0.0077	116.33	11.321
Djibouti	988002	11676	156	0	20516	0.0118	0.0207	0.0000	0.0133	0.0000	1.7571
Dominica	71991	576	0	0	19732	0.0080	0.2740	0.0000	0.0000	0.0000	34.256
Dominican Republic	10847904	345960	3976	1875579	4455264	0.0318	0.4107	0.1728	0.0114	5.4213	12.877
Ecuador	17643060	493767	31870	1624890	4622931	0.0279	0.2620	0.0920	0.0645	3.2908	9.3625
Egypt	102334403	285257	16615	0	1866622	0.0027	0.0182	0.0000	0.0582	0.0000	6.5436
El Salvador	6486201	90129	2781	892564	1929977	0.0138	0.2975	0.1376	0.0308	9.9031	21.413
Equatorial Guinea	1402985	8972	123	182355	136091	0.0063	0.0970	0.1299	0.0137	20.324	15.168
Eritrea	3546427	6601	37	0	0	0.0018	0.0000	0.0000	0.0056	0.0000	0.0000
Estonia	1326539	136790	1279	1684362	516547	0.1031	0.3893	1.2697	0.0093	12.313	3.7762
Eswatini	1160164	35851	924	0	85115	0.0309	0.0733	0.0000	0.0257	0.0000	2.3741
Ethiopia	114963583	288788	4471	3096721	0	0.0025	0.0000	0.0269	0.0154	10.723	0.0000
Fiji	896444	39770	368	299637	178606	0.0443	0.1992	0.3342	0.0092	7.5342	4.4909
Finland	5540718	116996	1002	6130677	2340299	0.0211	0.4223	1.1064	0.0085	52.400	20.003
France	67564251	6521927	112829	0	34991742	0.0965	0.5179	0.0000	0.0172	0.0000	5.3652
Gabon	2225728	25564	165	1024782	48760	0.0114	0.0219	0.4604	0.0064	40.086	1.9073
Gambia	2416664	8920	251	66537	12303	0.0036	0.0050	0.0275	0.0281	7.4593	1.3792
Georgia	3989175	477264	6371	7198000	237149	0.1196	0.0594	1.8043	0.0133	15.081	0.4968
Germany	83783945	3824546	91874	68260213	47367929	0.0456	0.5653	0.8147	0.0240	17.847	12.385
Ghana	31072945	110306	913	1379016	405971	0.0035	0.0130	0.0443	0.0082	12.501	3.6804
Greece	10423056	535237	13174	13837533	5504723	0.0513	0.5281	1.3275	0.0246	25.853	10.284
Grenada	112519	180	1	0	17013	0.0015	0.1512	0.0000	0.0055	0.0000	94.516
Guatemala	17915567	411731	11085	1952546	514253	0.0229	0.0287	0.1089	0.0269	4.7422	1.2490
Guinea	13132792	27837	279	0	343248	0.0021	0.0261	0.0000	0.0100	0.0000	12.330
Guinea-Bissau	1967998	5099	90	0	2374	0.0025	0.0012	0.0000	0.0176	0.0000	0.4655
Guyana	786559	23455	573	0	146091	0.0298	0.1857	0.0000	0.0244	0.0000	6.2285
Haiti	11402533	20507	576	0	366	0.0017	0.0000	0.0000	0.0280	0.0000	0.0178
Honduras	9904608	316235	8373	0	532819	0.0319	0.0537	0.0000	0.0264	0.0000	1.6848
Hungary	9660350	810316	30038	5964721	5498222	0.0838	0.5691	0.6174	0.0370	7.3609	6.7852
Iceland	341250	9458	30	530081	255322	0.0277	0.7481	1.5533	0.0031	56.045	26.995
India	1380004385	32192576	431225	485056507	121270889	0.0233	0.0878	0.3514	0.0133	15.067	3.7670
Indonesia	273523621	3833541	116366	19449602	27793556	0.0140	0.1016	0.0711	0.0303	5.0735	7.2501
Iran	83992953	4389085	97208	26889997	3152074	0.0522	0.0375	0.3201	0.0221	6.1265	0.7181
Iraq	40222503	1768753	19606	13586857	494900	0.0439	0.0123	0.3377	0.0110	7.6816	0.2798
Ireland	4937796	322989	5059	4728904	3073417	0.0654	0.6224	0.9576	0.0156	14.641	9.5155
Israel	8655541	934896	6622	20827578	5412337	0.1080	0.6253	2.4062	0.0070	22.277	5.7892
Italy	60461828	4435008	128413	79966541	34468779	0.0733	0.5700	1.3225	0.0289	18.030	7.7719
Jamaica	2961161	57289	1285	513700	135115	0.0193	0.0456	0.1734	0.0224	8.9668	2.3584
Japan	126476458	1130841	15413	18617335	46422145	0.0089	0.3670	0.1472	0.0136	16.463	41.050
Jordan	10203140	782210	10203	8647687	2498898	0.0766	0.2449	0.8475	0.0130	11.055	3.1946
Kazakhstan	18776707	745138	10791	11965068	4668157	0.0396	0.2486	0.6372	0.0144	16.057	6.2648
Kenya	53771300	219938	4319	1675310	729667	0.0040	0.0135	0.0311	0.0196	7.6171	3.3176
Kiribati	119446	2	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Kuwait	4270563	406234	2386	3565742	923307	0.0951	0.2162	0.8349	0.0058	8.7775	2.2728
Kyrgyzstan	6524191	171758	2439	0	261380	0.0263	0.0400	0.0000	0.0142	0.0000	1.5217
Laos	7275556	9894	9	305013	1455478	0.0013	0.2000	0.0419	0.0009	30.828	147.10
Latvia	1886202	140049	2561	3178228	717589	0.0742	0.3804	1.6849	0.0182	22.693	5.1238
Lebanon	6825442	581497	7972	4731376	972073	0.0851	0.1424	0.6931	0.0137	8.1365	1.6716
Lesotho	2142252	14243	397	0	36311	0.0066	0.0169	0.0000	0.0278	0.0000	2.5493
Liberia	5057677	5459	148	0	9135	0.0010	0.0018	0.0000	0.0271	0.0000	1.6733
Libya	6871287	279099	3869	0	0	0.0406	0.0000	0.0000	0.0138	0.0000	0.0000
Lithuania	2722291	289346	4446	4316418	1363184	0.1062	0.5007	1.5855	0.0153	14.917	4.7112
Luxembourg	625976	74595	828	3340999	343025	0.1191	0.5479	5.3372	0.0110	44.788	4.5984
Madagascar	27691019	42811	952	232478	0	0.0015	0.0000	0.0083	0.0222	5.4303	0.0000
Malawi	19129955	57896	1955	309766	219249	0.0030	0.0114	0.0161	0.0337	5.3503	3.7869
Malaysia	32365998	1384353	12228	23457482	10425300	0.0427	0.3221	0.7247	0.0088	16.944	7.5308
Maldives	540542	79000	222	1271880	292905	0.1461	0.5418	2.3529	0.0028	16.099	3.7076
Mali	20250834	14692	534	0	86477	0.0007	0.0042	0.0000	0.0363	0.0000	5.8859
Malta	441539	35286	430	1129787	404213	0.0799	0.9154	2.5587	0.0121	32.017	11.455
Marshall Islands	59194	4	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Mauritania	4649660	29884	636	254282	21545	0.0064	0.0046	0.0546	0.0212	8.5089	0.7209
Mauritius	1271767	5607	21	0	576180	0.0044	0.4530	0.0000	0.0037	0.0000	102.76
Mexico	128932753	3091971	248167	8477641	29046598	0.0239	0.2252	0.0657	0.0802	2.7418	9.3942
Micronesia (country)	115021	1	0	0	0	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Moldova	4033963	261947	6304	1473424	570879	0.0649	0.1415	0.3652	0.0240	5.6248	2.1793
Mongolia	3278292	181291	872	3364669	2018569	0.0553	0.6157	1.0263	0.0048	18.559	11.134
Montenegro	628062	105750	1642	0	163440	0.1683	0.2602	0.0000	0.0155	0.0000	1.5455
Morocco	36910558	752076	10933	7454027	11389655	0.0203	0.3085	0.2019	0.0145	9.9112	15.144
Mozambique	31255435	138344	1707	789771	478487	0.0044	0.0153	0.0252	0.0123	5.7087	3.4586
Myanmar	54409794	351605	13078	3298004	1527284	0.0064	0.0280	0.0606	0.0371	9.3798	4.3437
Namibia	2540916	122227	3271	631650	65556	0.0481	0.0258	0.2485	0.0267	5.1678	0.5363
Nepal	29136808	730479	10259	3729109	3303578	0.0250	0.1133	0.1279	0.0140	5.1050	4.5224
Netherlands	17134873	1932361	18212	12083348	10246053	0.1127	0.5979	0.7051	0.0094	6.2531	5.3023
New Zealand	4822233	2920	26	2548634	848406	0.0006	0.1759	0.5285	0.0089	872.81	290.55
Nicaragua	6624554	10251	197	0	339096	0.0015	0.0511	0.0000	0.0192	0.0000	33.079
Niger	24206636	5722	196	0	32190	0.0002	0.0013	0.0000	0.0342	0.0000	5.6256
Nigeria	206139587	181962	2219	2589130	1416623	0.0008	0.0068	0.0125	0.0121	14.228	7.7852
North Macedonia	2083380	161359	5542	966202	462192	0.0774	0.2218	0.4637	0.0343	5.9879	2.8643
Norway	5421242	144035	808	6706155	2154583	0.0265	0.3974	1.2370	0.0056	46.559	14.958
Oman	5106622	299642	3974	0	648518	0.0586	0.1269	0.0000	0.0132	0.0000	2.1643
Pakistan	220892331	1098410	24406	16735031	11956552	0.0049	0.0541	0.0757	0.0222	15.235	10.885
Palestine	5101416	320034	3623	0	426973	0.0627	0.0836	0.0000	0.0113	0.0000	1.3341
Panama	4314768	447261	6947	3474388	822824	0.1036	0.1906	0.8052	0.0155	7.7681	1.8396
Papua New Guinea	8947027	17806	192	82516	17287	0.0019	0.0019	0.0092	0.0107	4.6341	0.9708
Paraguay	7132530	456589	15420	1712947	286989	0.0640	0.0402	0.2401	0.0337	3.7516	0.6285
Peru	32971846	2132834	197340	4774899	6636428	0.0646	0.2012	0.1448	0.0925	2.2387	3.1115
Philippines	109581085	1727231	30070	16389516	12027383	0.0157	0.1097	0.1495	0.0174	9.4888	6.9633
Poland	37846605	2885185	75299	18659033	18156083	0.0762	0.4797	0.4930	0.0260	6.4671	6.2928
Portugal	10196707	1001118	17549	15974446	6594658	0.0981	0.6467	1.5666	0.0175	15.956	6.5872
Qatar	2881060	228981	601	2391827	1871303	0.0794	0.6495	0.8301	0.0026	10.445	8.1723
Romania	19237682	1086900	34342	8843697	4980796	0.0564	0.2589	0.4597	0.0315	8.1366	4.5825
Russia	145934460	6490421	166795	171145970	32251637	0.0444	0.2210	1.1727	0.0256	26.369	4.9691
Rwanda	12952209	79284	949	2188881	403338	0.0061	0.0311	0.1689	0.0119	27.608	5.0872
Saint Lucia	183629	6287	95	0	26063	0.0342	0.1419	0.0000	0.0151	0.0000	4.1455
Saint Vincent and the Grenadines	110947	2308	12	0	10017	0.0208	0.0902	0.0000	0.0051	0.0000	4.3401
Samoa	198410	3	0	0	28653	0.0000	0.1444	0.0000	0.0000	0.0000	9551.0
Sao Tome and Principe	219161	2488	41	0	11871	0.0113	0.0541	0.0000	0.0164	0.0000	4.7713
Saudi Arabia	34813867	537374	8388	26180818	10944970	0.0154	0.3143	0.7520	0.0156	48.719	20.367
Senegal	16743930	70413	1587	699304	324537	0.0042	0.0193	0.0417	0.0225	9.9314	4.6090
Serbia	6804596	731227	7163	4789840	2753311	0.1074	0.4046	0.7039	0.0097	6.5504	3.7653
Seychelles	98340	18895	98	0	68553	0.1921	0.6971	0.0000	0.0051	0.0000	3.6281
Sierra Leone	7976985	6338	121	0	15170	0.0007	0.0019	0.0000	0.0190	0.0000	2.3934
Singapore	5850343	66119	44	16614807	4071978	0.0113	0.6960	2.8399	0.0006	251.28	61.585
Slovakia	5459643	393455	12544	40796788	2081153	0.0720	0.3811	7.4724	0.0318	103.68	5.2894
Slovenia	2078932	261333	4433	1410692	851094	0.1257	0.4093	0.6785	0.0169	5.3980	3.2567
Solomon Islands	686878	20	0	0	13155	0.0000	0.0191	0.0000	0.0000	0.0000	657.75
South Africa	59308690	2595447	76869	14806616	3958231	0.0437	0.0667	0.2496	0.0296	5.7048	1.5250
South Korea	51269183	223928	2156	11718432	9735672	0.0043	0.1898	0.2285	0.0096	52.331	43.476
South Sudan	11193729	11172	120	164472	4763	0.0009	0.0004	0.0146	0.0107	14.721	0.4263
Spain	46754783	4693540	82470	52887516	29526380	0.1003	0.6315	1.1311	0.0175	11.268	6.2908
Sri Lanka	21413250	351533	5936	4650595	3775976	0.0164	0.1763	0.2171	0.0168	13.229	10.741
Sudan	43849269	37543	2804	0	182727	0.0008	0.0041	0.0000	0.0746	0.0000	4.8671
Suriname	586634	26539	680	0	82760	0.0452	0.1410	0.0000	0.0256	0.0000	3.1184
Sweden	10099270	1110147	14658	0	4792566	0.1099	0.4745	0.0000	0.0132	0.0000	4.3170
Switzerland	8654618	735375	10923	8879797	4281013	0.0849	0.4946	1.0260	0.0148	12.075	5.8215
Tajikistan	9537642	16061	123	0	130000	0.0016	0.0136	0.0000	0.0076	0.0000	8.0941
Tanzania	59734213	1367	50	0	105745	0.0000	0.0017	0.0000	0.0365	0.0000	77.355
Thailand	69799978	885275	7343	9201621	5033568	0.0126	0.0721	0.1318	0.0082	10.394	5.6858
Timor	1318442	12272	29	167505	115874	0.0093	0.0878	0.1270	0.0023	13.649	9.4421
Togo	8278737	17581	165	425908	153637	0.0021	0.0185	0.0514	0.0093	24.225	8.7388
Trinidad and Tobago	1399491	41676	1173	283910	292963	0.0297	0.2093	0.2028	0.0281	6.8123	7.0295
Tunisia	11818618	622262	21745	2369269	1488800	0.0526	0.1259	0.2004	0.0349	3.8075	2.3925
Turkey	84339067	6059776	53005	61455218	32546912	0.0718	0.3859	0.7286	0.0087	10.141	5.3709
Uganda	45741000	96678	2863	1511089	4129	0.0021	0.0000	0.0330	0.0296	15.630	0.0427
Ukraine	43733759	2354008	56126	11627179	2718680	0.0538	0.0621	0.2658	0.0238	4.9393	1.1549
United Arab Emirates	9890400	700587	1997	69026966	7210000	0.0708	0.7289	6.9791	0.0028	98.527	10.291
United Kingdom	67886004	6270673	131210	228640287	40372981	0.0923	0.5947	3.3680	0.0209	36.461	6.4383
United States	331002647	36640271	621253	499128115	168090925	0.1106	0.5078	1.5079	0.0169	13.622	4.5876
Uruguay	3473727	383212	6001	3170831	2398684	0.1103	0.6905	0.9128	0.0156	8.2743	6.2594
Uzbekistan	33469199	142124	970	0	1232807	0.0042	0.0368	0.0000	0.0068	0.0000	8.6741
Vanuatu	307150	4	1	0	114	0.0000	0.0003	0.0000	0.2500	0.0000	28.500
Venezuela	28435943	318185	3789	0	1100000	0.0111	0.0386	0.0000	0.0119	0.0000	3.4571
Vietnam	97338583	265464	5437	9819987	1271973	0.0027	0.0130	0.1008	0.0204	36.991	4.7915
World	7794798729	206807509	4354756	0	1832776738	0.0265	0.2351	0.0000	0.0210	0.0000	8.8622
Yemen	29825968	7273	1401	0	13322	0.0002	0.0004	0.0000	0.1926	0.0000	1.8317
Zambia	18383956	202078	3521	2168413	212694	0.0109	0.0115	0.1179	0.0174	10.730	1.0525
Zimbabwe	14862927	119853	4090	1031309	1180207	0.0080	0.0794	0.0693	0.0341	8.6047	9.8471
